current_role,data_vis_lib,prog_language,proportion_time-Gathering data,proportion_time-Cleaning data,proportion_time-Visualizing data,proportion_time-Model building/model selection,proportion_time-Putting the model into production,proportion_time-Finding insights in the data and communicating with stakeholders
Consultant,,,,,,,,
Other,,,,,,,,
Data Scientist,ggplot2,Java,2.0,3.0,20.0,50.0,20.0,0.0
Not employed,ggplot2,Python,20.0,25.0,15.0,10.0,10.0,20.0
Data Analyst,,SQL,10.0,10.0,20.0,10.0,20.0,23.0
Data Scientist,Matplotlib,Javascript/Typescript,12.0,15.0,13.0,30.0,10.0,0.0
Other,,,0.0,30.0,50.0,0.0,0.0,20.0
Other,Matplotlib,,20.0,30.0,20.0,20.0,5.0,5.0
Not employed,Matplotlib,Python,,,,,,
Software Engineer,D3,C#/.NET,55.0,10.0,20.0,5.0,0.0,10.0
Student,Seaborn,Python,0.0,20.0,30.0,50.0,0.0,0.0
Data Scientist,,Java,40.0,0.0,0.0,0.0,50.0,10.0
Student,ggplot2,Python,5.0,25.0,20.0,15.0,5.0,20.0
Research Assistant,Matplotlib,Python,15.0,10.0,15.0,25.0,0.0,35.0
Data Analyst,Seaborn,SQL,0.0,40.0,10.0,30.0,0.0,20.0
Data Scientist,,,0.0,70.0,10.0,10.0,10.0,0.0
Data Scientist,ggplot2,R,20.0,15.0,20.0,30.0,10.0,5.0
Other,Matplotlib,,30.0,20.0,5.0,20.0,5.0,10.0
Other,Matplotlib,Python,15.0,20.0,15.0,20.0,10.0,20.0
Data Scientist,Matplotlib,Python,10.0,65.0,5.0,10.0,5.0,5.0
Chief Officer,ggplot2,SQL,20.0,20.0,30.0,0.0,0.0,30.0
Student,,,,,,,,
Manager,Matplotlib,Python,50.0,10.0,10.0,10.0,0.0,20.0
Research Scientist,Matplotlib,Python,20.0,28.0,2.0,30.0,5.0,10.0
Data Scientist,Seaborn,Python,15.0,35.0,10.0,15.0,15.0,10.0
Research Assistant,Matplotlib,MATLAB,0.0,0.0,40.0,40.0,20.0,0.0
Other,ggplot2,Python,,,,,,
Data Analyst,Matplotlib,SQL,20.0,50.0,10.0,10.0,0.0,10.0
Business Analyst,,,0.0,10.0,90.0,0.0,0.0,0.0
Software Engineer,Matplotlib,,0.0,60.0,15.0,25.0,0.0,0.0
Student,Seaborn,Python,10.0,20.0,20.0,20.0,10.0,20.0
Business Analyst,,,,,,,,
Data Scientist,Matplotlib,Python,20.0,20.0,15.0,20.0,5.0,20.0
Data Analyst,Matplotlib,,10.0,30.0,10.0,20.0,10.0,10.0
Data Scientist,Matplotlib,Python,20.0,10.0,15.0,20.0,20.0,15.0
Software Engineer,Seaborn,Java,0.0,0.0,0.0,0.0,0.0,0.0
Software Engineer,Matplotlib,C/C++,5.0,5.0,10.0,70.0,10.0,0.0
Software Engineer,,,30.0,10.0,20.0,10.0,5.0,5.0
Data Scientist,ggplot2,R,5.0,20.0,20.0,15.0,20.0,20.0
Other,ggplot2,SQL,0.0,0.0,10.0,50.0,20.0,20.0
Software Engineer,,C/C++,,,,,,
Research Scientist,Seaborn,,20.0,50.0,10.0,5.0,5.0,5.0
Data Scientist,,,10.0,10.0,10.0,40.0,10.0,20.0
Not employed,Matplotlib,Python,1.0,80.0,5.0,5.0,5.0,3.0
Software Engineer,Matplotlib,Visual Basic/VBA,20.0,10.0,5.0,40.0,10.0,10.0
Student,,Python,20.0,20.0,10.0,20.0,10.0,10.0
Data Analyst,,SQL,24.0,8.0,15.0,23.0,23.0,5.0
Student,Matplotlib,Python,10.0,30.0,20.0,20.0,10.0,10.0
Research Scientist,ggplot2,MATLAB,60.0,10.0,25.0,5.0,0.0,0.0
Student,Matplotlib,Python,10.0,30.0,10.0,10.0,30.0,10.0
Data Scientist,ggplot2,R,30.0,30.0,5.0,10.0,20.0,5.0
